Item,Price
Teavana Peach Green Tea,$4.39
Teavana Pineapple Berry Iced Tea,$4.40
Iced Gingerbread Oatmilk Chai,$6.79
Iced Matcha Latte,$6.02
Iced Pumpkin Cream Chai,$6.85
Iced Nondairy Salted Caramel Cookie Matcha,$6.85
Iced Apple Crisp Nondairy Cream Chai,$6.85
Iced Chai Latte,$5.64
Iced Matcha Tea Latte,$5.87
Blended Strawberry Lemonade,$5.93
Iced Lavender Cream Oatmilk Matcha,$6.53
Teavana® Chai Tea,$3.03
Chai Latte,$5.33
Matcha Green Tea Latte,$3.95
Matcha Tea Latte,$5.46
Matcha Latte,$5.66
Chai Tea Latte,$4.60
Earl Grey Black Tea,$2.85
Honey Citrus Mint Tea,$3.71
Gingerbread Oatmilk Chai,$6.46
Royal English Breakfast Black Tea,$2.52
London Fog Tea Latte,$4.95
Royal English Breakfast Tea Latte,$4.97
Emperor's Cloud and Mist® Green Tea,$3.03
Jade Citrus Mint™ Brewed Tea,$3.03
Peach Tranquility® Herbal Tea,$3.03
Mint Majesty™ Herbal Tea,$3.03
Comfort Wellness Brewed Tea,$3.02
Citrus Defender,$3.71
Defense Wellness Brewed Tea,$3.02
Mango Dragonfruit Lemonade Starbucks Refreshers,$3.85
Ethos Bottled Water,$3.24
Very Berry Hibiscus Starbucks Refreshers™,$3.56
Pink Drink,$4.69
Mango Dragonfruit Starbucks Refreshers™,$3.46
Strawberry Açaí Starbucks Refreshers® Iced Beverage,$4.03
Violet Drink,$5.19
Strawberry Açaí Lemonade Starbucks Refreshers® Iced Beverage,$4.53
Strawberry Acai Lemonade Starbucks Refreshers®,$4.32
Very Berry Hibiscus Lemonade Starbucks Refreshers®,$4.70
Very Berry Hibiscus Lemonade Starbucks Refreshers® Iced Beverage,$4.53
Lemonade,$3.11
Starbucks BAYA Energy Mango Guava,$3.75
Milk,$2.88
Evolution Fresh Organic Vital Berry,$5.76
Starbucks BAYA Energy Raspberry Lime,$3.75
Evolution Fresh Mighty Watermelon,$5.77
Galvanina Sparkling Water,$2.91
Bag of Salted Chips,$1.75
"Bacon, Gouda, & Egg Breakfast Sandwich",$5.48
"Bacon, Gouda and Egg Sandwich",$5.37
Reduced-Fat Turkey Bacon and Cage Free Egg White Sandwich,$4.31
"Turkey Bacon, Cheddar and Egg White Sandwich",$5.76
"Spicy Chorizo, Monterey Jack & Egg Sandwich",$5.79
Impossible Breakfast Sandwich,$6.94
"Spinach, Feta and Cage Free Egg White Wrap",$4.00
"Double-Smoked Bacon, Cheddar and Egg Sandwich",$6.40
"Spinach, Feta and Egg White Wrap",$5.75
"Sausage, Cheddar and Egg Sandwich",$4.78
Chicken Sausage & Bacon Biscuit,$6.57
Egg White and Roasted Red Pepper Egg Bites,$6.32
"Sausage, Cheddar & Egg Breakfast Sandwich",$5.21
Bacon and Gruyère Egg Bites,$6.32
"Potato, Cheddar and Chive Bakes",$6.66
Avocado Spread,$1.61
Kale and Mushroom Egg Bites,$6.32
"Bacon, Sausage and Egg Wrap",$7.75
"Chicken, Maple Butter and Egg Sandwich",$6.59
Sous Vide Egg Bites: Egg White & Red Pepper,$6.02
Sous Vide Egg Bites: Bacon & Gruyere,$5.83
Hearty Blueberry Oatmeal,$3.92
Egg White & Roasted Red Pepper Sous Vide Egg Bites,$5.25
Classic Oatmeal,$4.32
Sous Vide Egg Bites: Chicken Chorizo Tortilla,$6.22
"Sous Vide Egg Bites: Ham, Cheddar & Peppers",$5.84
"Spicy Chorizo, Monterey Jack & Egg Breakfast Sandwich",$6.49
"Spinach, Feta, & Cage-Free Egg White Breakfast Wrap",$5.49
Cold Milk,$4.14
Pistachio Crème,$4.33
Water Bottle,$2.25
Olipop Classic Root Beer,$3.95
Brew DR. Island Mango Kombucha,$4.79
Olipop Classic Grape,$3.95
Brew DR. Superberry Kombucha,$4.78
Starbucks Tripleshot Energy Rich Vanilla,$5.58
Spindrift Lemon Sparkling Water,$3.25
Tree Top Apple Juice Box,$3.23
Koia Vanilla Bean Protein Shake,$6.00
Horizon Chocolate Organic Milk,$3.42
Koia Cacao Bean Protein Shake,$6.00
"Egg, Pesto and Mozzarella Sandwich",$6.30
Madeleines,$3.03
Vanilla Biscotti with Almonds,$2.43
Shortbread Cookies,$2.25
2 Pack Dark Chocolate Grahams,$3.09
Perfectly Salted Chips,$2.12
Dark Chocolate Covered Espresso Beans,$3.25
Dipped Madeleines,$3.55
Goodie Girl Mint Slims,$3.92
Starbucks® Chocolate Cranberries,$9.15
Rip van Wafels – Honey & Oats,$2.25
Justin's - Dark Chocolate Peanut Butter Cups,$2.83
Justin’s® Dark Chocolate Peanut Butter Cups,$2.65
Chocolate Covered Espresso Beans,$3.15
Dorga Money on Honey Caramels,$3.96
Salted Almond Chocolate Bites,$3.22
Banana,$1.51
Spearmint Gum,$2.91
SkinnyDipped Dark Chocolate Cocoa Almonds,$3.55
Squirrel - Fruit & Nut,$2.25
Starbucks® Bourbon Flavored Caramels,$9.15
Starbucks® Hot Cocoa Tin,$14.95
Squirrel Brand Fruit and Nut,$2.51
SkinnyDipped Lemon Bliss Almonds,$3.55
Squirrel - Classic Almonds,$2.25
Squirrel Brand® – Classic Almonds,$2.25
Siete Sea Salt Kettle Cooked Potato Chips,$3.15
Peter Rabbit Organics - Apple & Grape,$2.91
Siete Lime Grain Free Tortilla Chips,$3.15
Starbucks Butter Popcorn,$1.75
Peter Rabbit Organics Strawberry Banana,$2.81
Peppermint Gum,$3.00
KIND Salted Caramel and Dark Chocolate Nut Bar,$2.73
Butter Gourmet Popcorn,$1.95
Peppermint Mints,$3.89
Perfect Bar - Dark Chocolate Chip Peanut Butter,$4.82
BBQ Chips,$2.36
Starbucks® BBQ Potato Chips,$1.95
Bare Fruit Medley,$5.22
Simply Salted Kettle Chips,$2.12
Simply Salted Kettle Potato Chips,$1.95
Hippeas - White Cheddar,$2.33
Salt & Vinegar Kettle Chips,$2.36
Salt & Vinegar Kettle Potato Chips,$1.95
Sweet Potato Kettle Chips,$2.36
Sweet Potato Kettle Potato Chips,$1.95
Moon Cheese™ –  Cheddar,$5.75
String Cheese,$2.10
Country Archer - Hickory Smoked Turkey Jerky,$9.36
Country Archer – Hickory Smoked Turkey Jerkey,$7.95
